task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
46	31/6fba21	3065363	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL2210190006)	CACHED	0	2023-11-20 13:40:19.927	24.7s	7.2s	283.3%	212.7 MB	5.4 GB	116.9 MB	106.8 KB
47	e5/071e76	3065500	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL2210190007)	CACHED	0	2023-11-20 13:40:19.952	25.8s	7.4s	246.2%	211.9 MB	5.4 GB	116.9 MB	107.7 KB
3	f8/26f0d2	3063949	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2204190004)	CACHED	0	2023-11-20 13:40:19.576	14.3s	10.3s	271.0%	380.2 MB	5.4 GB	114.4 MB	11.8 KB
42	f0/63cb5e	3064115	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL2210190001)	CACHED	0	2023-11-20 13:40:19.686	9.8s	7.5s	292.5%	211.8 MB	5.4 GB	117.1 MB	102.2 KB
49	f3/91b935	3064146	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL2210190009)	CACHED	0	2023-11-20 13:40:19.695	10.7s	7.6s	249.9%	213.9 MB	5.4 GB	117.2 MB	109 KB
25	d1/23928f	3065105	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL2204270001)	CACHED	0	2023-11-20 13:40:19.875	18.1s	8.3s	205.6%	218 MB	5.4 GB	119.3 MB	241.4 KB
6	f3/2d3770	3064996	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL1909260004)	CACHED	0	2023-11-20 13:40:19.857	18s	9.3s	193.5%	223 MB	5.4 GB	121.9 MB	345.2 KB
19	6e/b3359b	3064132	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL2204190005)	CACHED	0	2023-11-20 13:40:19.691	11.3s	7.5s	211.1%	212.9 MB	5.4 GB	116.7 MB	183.1 KB
48	cd/4617be	3064836	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL2210190008)	CACHED	0	2023-11-20 13:40:19.825	14.6s	7.6s	205.1%	212.1 MB	5.4 GB	117.2 MB	104.8 KB
50	18/3e33ae	3065217	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL2210190012)	CACHED	0	2023-11-20 13:40:19.898	24s	6.8s	338.9%	212.2 MB	5.4 GB	117.2 MB	109.9 KB
