task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
113	2d/fb83ca	88755	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2204280003)	COMPLETED	0	2023-11-22 10:37:18.435	43.8s	41.3s	67.7%	641.1 MB	5.7 GB	126.9 MB	99.2 KB
62	e1/d1dda0	4041103	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204300002)	COMPLETED	0	2023-11-22 10:33:15.434	4m 52s	4m 49s	790.0%	18.1 GB	296.1 GB	149.7 MB	5 MB
68	3d/ed8754	4129272	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204200003)	COMPLETED	0	2023-11-22 10:34:35.600	3m 33s	3m 23s	564.5%	17 GB	295.1 GB	149.5 MB	4.1 MB
70	66/141a65	4135517	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2210190008)	COMPLETED	0	2023-11-22 10:34:45.056	4m 12s	4m 4s	592.5%	19.2 GB	297.3 GB	149.7 MB	4.2 MB
74	74/23e9fb	4058130	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2204260001)	COMPLETED	0	2023-11-22 10:33:28.559	5m 29s	5m 23s	76.4%	727.9 MB	5.8 GB	126.9 MB	52.1 KB
102	20/60433b	44835	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2205040002)	COMPLETED	0	2023-11-22 10:36:33.291	3m 11s	3m 9s	76.1%	1.3 GB	6.4 GB	127.8 MB	190.8 KB
69	c6/5071f1	4129977	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2210190007)	COMPLETED	0	2023-11-22 10:34:36.272	5m 26s	5m 16s	644.9%	19.5 GB	297.5 GB	149.8 MB	4.3 MB
71	22/f958f8	4136061	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2210190002)	COMPLETED	0	2023-11-22 10:34:45.756	5m 22s	5m 15s	664.2%	19.4 GB	297.4 GB	149.7 MB	4.2 MB
107	39/5275c1	66504	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2205040004)	COMPLETED	0	2023-11-22 10:36:52.892	3m 16s	3m 14s	76.6%	1.3 GB	6.4 GB	127.8 MB	192 KB
109	7d/a3ac5b	73135	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2205040001)	COMPLETED	0	2023-11-22 10:36:59.696	3m 22s	3m 18s	74.5%	1.4 GB	6.4 GB	127.8 MB	190.1 KB
